"MetadataId","LogicalName","SchemaName"
"78750cb9-638d-f011-b4cb-6045bd92fd6a","solar_location","solar_location"
"5594d575-658d-f011-b4cb-6045bd92fd6a","solar_maintenance_team","solar_maintenance_team"
"1bd2e3a1-668d-f011-b4cc-7c1e522a4087","solar_notification","solar_notification"
"solar_clients","solar_clients","solar_clients"
"solar_country","solar_country","solar_country"
"solar_maintenanceteamcategory","solar_maintenanceteamcategory","solar_maintenanceteamcategory"
"solar_maintenanceteammember","solar_maintenanceteammember","solar_maintenanceteammember"
"solar_maintenanceteamperlocation","solar_maintenanceteamperlocation","solar_maintenanceteamperlocation"
"solar_section","solar_section","solar_section"
"solar_sitecredentials","solar_sitecredentials","solar_sitecredentials"
"solar_sitecomments","solar_sitecomments","solar_sitecomments"
"contact","contact","Contact"
