"EntityLogicalName","EntitySchemaName","RelationshipSchemaName","ReferencedEntity","ReferencingEntity","ReferencedAttribute","ReferencingAttribute","RelationshipType","CascadeConfiguration","IsCustomRelationship"
"solar_solarcountry","solar_solarcountry","solar_solarcountry_SyncErrors","solar_solarcountry","syncerror","solar_solarcountryid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","solar_solarcountry_AsyncOperations","solar_solarcountry","asyncoperation","solar_solarcountryid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","solar_solarcountry_MailboxTrackingFolders","solar_solarcountry","mailboxtrackingfolder","solar_solarcountryid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","solar_solarcountry_UserEntityInstanceDatas","solar_solarcountry","userentityinstancedata","solar_solarcountryid","objectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","solar_solarcountry_ProcessSession","solar_solarcountry","processsession","solar_solarcountryid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","solar_solarcountry_BulkDeleteFailures","solar_solarcountry","bulkdeletefailure","solar_solarcountryid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","solar_solarcountry_PrincipalObjectAttributeAccesses","solar_solarcountry","principalobjectattributeaccess","solar_solarcountryid","objectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","solar_solarcountry_DeletedItemReferences","solar_solarcountry","deleteditemreference","solar_solarcountryid","deletedobject","OneToMany","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","lk_solar_solarcountry_createdby","systemuser","solar_solarcountry","systemuserid","createdby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","lk_solar_solarcountry_createdonbehalfby","systemuser","solar_solarcountry","systemuserid","createdonbehalfby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","lk_solar_solarcountry_modifiedby","systemuser","solar_solarcountry","systemuserid","modifiedby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","lk_solar_solarcountry_modifiedonbehalfby","systemuser","solar_solarcountry","systemuserid","modifiedonbehalfby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","user_solar_solarcountry","systemuser","solar_solarcountry","systemuserid","owninguser","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","team_solar_solarcountry","team","solar_solarcountry","teamid","owningteam","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","owner_solar_solarcountry","owner","solar_solarcountry","ownerid","ownerid","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarcountry","solar_solarcountry","business_unit_solar_solarcountry","businessunit","solar_solarcountry","businessunitid","owningbusinessunit","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""Restrict"",""Archive"":""Restrict"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_location","solar_location","solar_preventivetask_Park","solar_location","solar_solarpreventivetask","solar_locationid","solar_park","OneToMany","{""Assign"":""NoCascade"",""Delete"":""RemoveLink"",""Archive"":""RemoveLink"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","True"
"solar_location","solar_location","solar_location_DeletedItemReferences","solar_location","deleteditemreference","solar_locationid","deletedobject","OneToMany","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_location","solar_location","solar_location_ActivityPointers","solar_location","activitypointer","solar_locationid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""RemoveLink"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_location","solar_location","solar_location_msfp_surveyresponses","solar_location","msfp_surveyresponse","solar_locationid","regardingobjectid","OneToMany","{""Assign"":""Cascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""Cascade"",""Share"":""Cascade"",""Unshare"":""Cascade"",""RollupView"":""NoCascade""}","False"
"solar_location","solar_location","solar_location_msfp_surveyinvites","solar_location","msfp_surveyinvite","solar_locationid","regardingobjectid","OneToMany","{""Assign"":""Cascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""Cascade"",""Share"":""Cascade"",""Unshare"":""Cascade"",""RollupView"":""NoCascade""}","False"
"solar_location","solar_location","solar_location_adx_portalcomments","solar_location","adx_portalcomment","solar_locationid","regardingobjectid","OneToMany","{""Assign"":""Cascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""Cascade"",""Share"":""Cascade"",""Unshare"":""Cascade"",""RollupView"":""NoCascade""}","False"
"solar_location","solar_location","solar_location_msfp_alerts","solar_location","msfp_alert","solar_locationid","regardingobjectid","OneToMany","{""Assign"":""Cascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""Cascade"",""Share"":""Cascade"",""Unshare"":""Cascade"",""RollupView"":""NoCascade""}","False"
"solar_location","solar_location","solar_location_chats","solar_location","chat","solar_locationid","regardingobjectid","OneToMany","{""Assign"":""Cascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""Cascade"",""Share"":""Cascade"",""Unshare"":""Cascade"",""RollupView"":""NoCascade""}","False"
"solar_location","solar_location","solar_location_adx_inviteredemptions","solar_location","adx_inviteredemption","solar_locationid","regardingobjectid","OneToMany","{""Assign"":""Cascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""Cascade"",""Share"":""Cascade"",""Unshare"":""Cascade"",""RollupView"":""NoCascade""}","False"
"solar_location","solar_location","solar_location_Appointments","solar_location","appointment","solar_locationid","regardingobjectid","OneToMany","{""Assign"":""Cascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""Cascade"",""Share"":""Cascade"",""Unshare"":""Cascade"",""RollupView"":""NoCascade""}","False"
"solar_location","solar_location","solar_location_Emails","solar_location","email","solar_locationid","regardingobjectid","OneToMany","{""Assign"":""Cascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""Cascade"",""Share"":""Cascade"",""Unshare"":""Cascade"",""RollupView"":""NoCascade""}","False"
"solar_location","solar_location","solar_location_Faxes","solar_location","fax","solar_locationid","regardingobjectid","OneToMany","{""Assign"":""Cascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""Cascade"",""Share"":""Cascade"",""Unshare"":""Cascade"",""RollupView"":""NoCascade""}","False"
