"MetadataId","LogicalName","SchemaName"
"dba65751-fb7d-f011-b4cb-000d3a275226","solar_solarcountry","solar_solarcountry"
"78750cb9-638d-f011-b4cb-6045bd92fd6a","solar_location","solar_location"
"5594d575-658d-f011-b4cb-6045bd92fd6a","solar_maintenance_team","solar_maintenance_team"
"45d2564f-b28d-f011-b4cb-6045bd99791c","solar_solarassetcategory","solar_solarassetcategory"
"8e7fca96-b28d-f011-b4cb-6045bd99791c","solar_solarpreventivetask","solar_solarpreventivetask"
"70816501-edb9-4740-a16c-6a5efbc05d84","account","Account"
"d1487b18-6866-f011-bec1-7c1e5227c5ec","solar_solarpreventiveplan","solar_solarpreventiveplan"
"e517bfc9-648d-f011-b4cc-7c1e522a4087","solar_corrective_work_order","solar_corrective_work_order"
"e4eadf61-658d-f011-b4cc-7c1e522a4087","solar_corrective_category","solar_corrective_category"
"c5a7f183-668d-f011-b4cc-7c1e522a4087","solar_task","solar_task"
"1bd2e3a1-668d-f011-b4cc-7c1e522a4087","solar_notification","solar_notification"
"6ceefc9e-1766-f011-bec2-7c1e52614aae","new_account","new_Account"
"0e8b72b7-9c65-f011-bec1-7ced8d5bc30b","solar_solarpreventiveplancategory","solar_solarpreventiveplancategory"
"78b5d4ca-9c65-f011-bec1-7ced8d5bc30b","solar_solarmodule","solar_solarmodule"
"447d27d4-9c65-f011-bec1-7ced8d5bc30b","solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory"
"1a3bf8e0-9c65-f011-bec1-7ced8d5bc30b","solar_solarinverter","solar_solarinverter"
"solar_clients","solar_clients","solar_clients"
"solar_country","solar_country","solar_country"
"solar_maintenanceteamcategory","solar_maintenanceteamcategory","solar_maintenanceteamcategory"
"solar_maintenanceteammember","solar_maintenanceteammember","solar_maintenanceteammember"
"solar_maintenanceteamperlocation","solar_maintenanceteamperlocation","solar_maintenanceteamperlocation"
"solar_section","solar_section","solar_section"
"solar_sitecredentials","solar_sitecredentials","solar_sitecredentials"
"solar_sitecomments","solar_sitecomments","solar_sitecomments"
"solar_equipmentwarehouse","solar_equipmentwarehouse","solar_equipmentwarehouse"
"solar_inverter","solar_inverter","solar_inverter"
"solar_module","solar_module","solar_module"
"contact","contact","Contact"
